,number,value,datetime_start,datetime_complete,duration,params_lr,params_scheduler_gamma,params_w_feat,params_w_info,params_w_res,params_weight_decay,state
0,0,0.32374740287689496,2025-05-08 23:44:02.264756,2025-05-08 23:45:14.784317,0 days 00:01:12.519561,0.002969433837962467,0.9968670907308048,1.4714908905041255,0.22194045480658853,4.394233224088735,0.00010152644298022098,COMPLETE
1,1,,2025-05-08 23:45:14.796316,,,0.00017913268539938612,0.9961006625063623,2.430767425258259,1.8202270052716796,2.5561462658524805,6.580003254549112e-06,RUNNING
2,2,0.364539731749928,2025-05-09 00:20:50.166239,2025-05-09 00:46:46.123387,0 days 00:25:55.957148,0.004100615988682141,0.9918367419346609,3.7004931022901073,0.29056112815865986,4.036406409055022,0.00031955046944082653,COMPLETE
3,3,0.20172324668570088,2025-05-09 00:46:46.135387,2025-05-09 01:10:48.655626,0 days 00:24:02.520239,1.1313056537162755e-05,0.999690360997742,4.621212499640954,0.9164539770087032,3.3034179758024145,5.189344717471061e-05,COMPLETE
4,4,0.2964752155902166,2025-05-09 01:10:48.666627,2025-05-09 01:36:17.858559,0 days 00:25:29.191932,0.004652794882449542,0.9939487734979142,2.2111298121608995,0.4998346507978184,0.5965598518622406,1.2308609870215803e-05,COMPLETE
5,5,0.19170811679536956,2025-05-09 01:36:17.868559,2025-05-09 01:59:32.528958,0 days 00:23:14.660399,0.00010831227425405268,0.9904836736588238,2.27163117404034,0.7504795886656673,4.023971166337619,1.4285638611346809e-05,COMPLETE
6,6,0.16525466653532317,2025-05-09 01:59:32.539958,2025-05-09 02:22:01.894698,0 days 00:22:29.354740,4.322913102393736e-05,0.995550600719973,1.6461728713422543,0.6086360240040449,2.1414976147920814,0.00010463139161906543,COMPLETE
7,7,0.15133614632847564,2025-05-09 02:22:01.904697,2025-05-09 02:45:29.083963,0 days 00:23:27.179266,0.00012755550642514423,0.991430591137635,2.5319768683233765,1.2715245988496557,3.878285016368403,6.648297094051614e-06,COMPLETE
8,8,0.13610728958901241,2025-05-09 02:45:29.093960,2025-05-09 03:08:41.708423,0 days 00:23:12.614463,0.0001113164911539728,0.9942326218727744,2.6285700576181346,0.3353143461007626,3.976662307109364,4.74593557039794e-06,COMPLETE
9,9,0.2367440388097348,2025-05-09 03:08:41.718423,2025-05-09 03:32:06.017345,0 days 00:23:24.298922,0.0006170478549161902,0.9992431943492533,1.0206985823547416,0.1095729924318771,4.655859790196138,0.00024007487506772833,PRUNED
10,10,0.14706812666154062,2025-05-09 03:32:06.024345,2025-05-09 03:55:07.936342,0 days 00:23:01.911997,6.64573832830146e-05,0.9961468416355771,3.6124585521638695,1.010962608702062,4.872173158834746,1.6953475873881027e-05,COMPLETE
11,11,0.20955439265553885,2025-05-09 03:55:07.946342,2025-05-09 04:18:37.508631,0 days 00:23:29.562289,0.0007331537600832215,0.9936241343095863,3.442518900285429,1.9415888006490312,2.415154758676888,2.1751622975495265e-06,PRUNED
12,12,0.18836517226995847,2025-05-09 04:18:37.516631,2025-05-09 04:41:45.049731,0 days 00:23:07.533100,2.338744374227421e-05,0.9971483404625505,3.5844718347344515,1.3140731218091781,4.979648656654072,1.11439226432564e-06,PRUNED
13,13,0.15117073872029713,2025-05-09 04:41:45.057732,2025-05-09 05:05:11.901773,0 days 00:23:26.844041,0.000158896743442105,0.9954449214159095,4.6465501044301245,1.7144989770594703,3.143835425349645,3.8314245744995155e-06,COMPLETE
14,14,0.17701793979507674,2025-05-09 05:05:11.915773,2025-05-09 05:28:02.787027,0 days 00:22:50.871254,5.1050670447591156e-05,0.9972529941345932,3.045905312003417,1.3433235110420987,1.4331383530577235,2.2304271248541798e-05,PRUNED
15,15,0.15128239505577104,2025-05-09 05:28:02.800028,2025-05-09 05:51:29.965468,0 days 00:23:27.165440,0.00040962193522236725,0.993633536167975,4.1921199252203705,1.125007341377895,3.4487159339042686,5.250937028410119e-06,COMPLETE
16,16,0.18141756888822658,2025-05-09 05:51:29.975467,2025-05-09 06:14:53.717021,0 days 00:23:23.741554,0.00025817301709799874,0.994801271506327,3.00072999667604,0.8884211399888522,4.819642697262918,0.0006994675440373835,PRUNED
17,17,0.19750205888820216,2025-05-09 06:14:53.724021,2025-05-09 06:38:17.493311,0 days 00:23:23.769290,0.001559683786935956,0.9980914109106165,4.072176737245301,1.5675538684289316,4.181802802281486,2.6528148419386777e-05,PRUNED
18,18,0.1662932277424303,2025-05-09 06:38:17.500311,2025-05-09 07:00:57.683600,0 days 00:22:40.183289,2.5167678335965098e-05,0.9928469848593369,2.9405350120917264,0.5179973883831002,2.8374874049392447,1.0034051081100617e-06,PRUNED
