Loading Hopkins155 data from: data/Hopkins155/
finished loading data for 157 sequences
cuda
Pretraining Epoch 118/300, Avg Loss: 5.1771
Pretraining Epoch 119/300, Avg Loss: 5.1752
Pretraining Epoch 120/300, Avg Loss: 5.1752
Pretraining Epoch 121/300, Avg Loss: 5.1811
Pretraining Epoch 122/300, Avg Loss: 5.1771
Pretraining Epoch 123/300, Avg Loss: 5.1721
Pretraining Epoch 124/300, Avg Loss: 5.1773
Pretraining Epoch 125/300, Avg Loss: 5.1728
Pretraining Epoch 126/300, Avg Loss: 5.1706
Pretraining Epoch 127/300, Avg Loss: 5.1699
Pretraining Epoch 128/300, Avg Loss: 5.1718
Pretraining Epoch 129/300, Avg Loss: 5.1758
Pretraining Epoch 130/300, Avg Loss: 5.1711
Pretraining Epoch 131/300, Avg Loss: 5.1706
Pretraining Epoch 132/300, Avg Loss: 5.1729
Pretraining Epoch 133/300, Avg Loss: 5.1679
Pretraining Epoch 134/300, Avg Loss: 5.1659
Pretraining Epoch 135/300, Avg Loss: 5.1680
Pretraining Epoch 136/300, Avg Loss: 5.1650
Pretraining Epoch 137/300, Avg Loss: 5.1658
Pretraining Epoch 138/300, Avg Loss: 5.1667
Pretraining Epoch 139/300, Avg Loss: 5.1650
Pretraining Epoch 140/300, Avg Loss: 5.1637
Pretraining Epoch 141/300, Avg Loss: 5.1614
Pretraining Epoch 142/300, Avg Loss: 5.1595
Pretraining Epoch 143/300, Avg Loss: 5.1625
Pretraining Epoch 144/300, Avg Loss: 5.1597
Pretraining Epoch 145/300, Avg Loss: 5.1577
Pretraining Epoch 146/300, Avg Loss: 5.1584
Pretraining Epoch 147/300, Avg Loss: 5.1629
Pretraining Epoch 148/300, Avg Loss: 5.1584
Pretraining Epoch 149/300, Avg Loss: 5.1580
Pretraining Epoch 150/300, Avg Loss: 5.1576
Pretraining Epoch 151/300, Avg Loss: 5.1615
Pretraining Epoch 152/300, Avg Loss: 5.1533
Pretraining Epoch 153/300, Avg Loss: 5.1523
Pretraining Epoch 154/300, Avg Loss: 5.1512
Pretraining Epoch 155/300, Avg Loss: 5.1499
Pretraining Epoch 156/300, Avg Loss: 5.1534
Pretraining Epoch 157/300, Avg Loss: 5.1519
Pretraining Epoch 158/300, Avg Loss: 5.1500
Pretraining Epoch 159/300, Avg Loss: 5.1518
Pretraining Epoch 160/300, Avg Loss: 5.1504
Pretraining Epoch 161/300, Avg Loss: 5.1505
Pretraining Epoch 162/300, Avg Loss: 5.1491
Pretraining Epoch 163/300, Avg Loss: 5.1455
Pretraining Epoch 164/300, Avg Loss: 5.1459
Pretraining Epoch 165/300, Avg Loss: 5.1504
Pretraining Epoch 166/300, Avg Loss: 5.1453
Pretraining Epoch 167/300, Avg Loss: 5.1479
Pretraining Epoch 168/300, Avg Loss: 5.1502
Pretraining Epoch 169/300, Avg Loss: 5.1480
Pretraining Epoch 170/300, Avg Loss: 5.1418
Pretraining Epoch 171/300, Avg Loss: 5.1461
Pretraining Epoch 172/300, Avg Loss: 5.1452
Pretraining Epoch 173/300, Avg Loss: 5.1457
Pretraining Epoch 174/300, Avg Loss: 5.1396
Pretraining Epoch 175/300, Avg Loss: 5.1449
Pretraining Epoch 176/300, Avg Loss: 5.1392
Pretraining Epoch 177/300, Avg Loss: 5.1416
Pretraining Epoch 178/300, Avg Loss: 5.1381
Pretraining Epoch 179/300, Avg Loss: 5.1391
Pretraining Epoch 180/300, Avg Loss: 5.1386
Pretraining Epoch 181/300, Avg Loss: 5.1411
Pretraining Epoch 182/300, Avg Loss: 5.1377
Pretraining Epoch 183/300, Avg Loss: 5.1376
Pretraining Epoch 184/300, Avg Loss: 5.1379
Pretraining Epoch 185/300, Avg Loss: 5.1418
Pretraining Epoch 186/300, Avg Loss: 5.1369
Pretraining Epoch 187/300, Avg Loss: 5.1336
Pretraining Epoch 188/300, Avg Loss: 5.1336
Pretraining Epoch 189/300, Avg Loss: 5.1357
Pretraining Epoch 190/300, Avg Loss: 5.1333
Pretraining Epoch 191/300, Avg Loss: 5.1323
Pretraining Epoch 192/300, Avg Loss: 5.1341
Pretraining Epoch 193/300, Avg Loss: 5.1335
Pretraining Epoch 194/300, Avg Loss: 5.1360
Pretraining Epoch 195/300, Avg Loss: 5.1296
Pretraining Epoch 196/300, Avg Loss: 5.1299
Pretraining Epoch 197/300, Avg Loss: 5.1339
Pretraining Epoch 198/300, Avg Loss: 5.1303
Pretraining Epoch 199/300, Avg Loss: 5.1315
Pretraining Epoch 200/300, Avg Loss: 5.1354
Pretraining Epoch 201/300, Avg Loss: 5.1368
Pretraining Epoch 202/300, Avg Loss: 5.1296
Pretraining Epoch 203/300, Avg Loss: 5.1266
Pretraining Epoch 204/300, Avg Loss: 5.1286
Pretraining Epoch 205/300, Avg Loss: 5.1259
Pretraining Epoch 206/300, Avg Loss: 5.1264
Pretraining Epoch 207/300, Avg Loss: 5.1294
Pretraining Epoch 208/300, Avg Loss: 5.1278
Pretraining Epoch 209/300, Avg Loss: 5.1237
Pretraining Epoch 210/300, Avg Loss: 5.1203
Pretraining Epoch 211/300, Avg Loss: 5.1287
Pretraining Epoch 212/300, Avg Loss: 5.1248
Pretraining Epoch 213/300, Avg Loss: 5.1259
Pretraining Epoch 214/300, Avg Loss: 5.1249
Pretraining Epoch 215/300, Avg Loss: 5.1273
Pretraining Epoch 216/300, Avg Loss: 5.1210
Pretraining Epoch 217/300, Avg Loss: 5.1238
Pretraining Epoch 218/300, Avg Loss: 5.1208
Pretraining Epoch 219/300, Avg Loss: 5.1189
Pretraining Epoch 220/300, Avg Loss: 5.1229
Pretraining Epoch 221/300, Avg Loss: 5.1147
Pretraining Epoch 222/300, Avg Loss: 5.1187
Pretraining Epoch 223/300, Avg Loss: 5.1189
Pretraining Epoch 224/300, Avg Loss: 5.1225
Pretraining Epoch 225/300, Avg Loss: 5.1174
Pretraining Epoch 226/300, Avg Loss: 5.1176
Pretraining Epoch 227/300, Avg Loss: 5.1216
Pretraining Epoch 228/300, Avg Loss: 5.1157
Pretraining Epoch 229/300, Avg Loss: 5.1167
Pretraining Epoch 230/300, Avg Loss: 5.1184
Pretraining Epoch 231/300, Avg Loss: 5.1152
Pretraining Epoch 232/300, Avg Loss: 5.1113
Pretraining Epoch 233/300, Avg Loss: 5.1110
Pretraining Epoch 234/300, Avg Loss: 5.1090
Pretraining Epoch 235/300, Avg Loss: 5.1139
Pretraining Epoch 236/300, Avg Loss: 5.1132
Pretraining Epoch 237/300, Avg Loss: 5.1096
Pretraining Epoch 238/300, Avg Loss: 5.1191
Pretraining Epoch 239/300, Avg Loss: 5.1114
Pretraining Epoch 240/300, Avg Loss: 5.1082
Pretraining Epoch 241/300, Avg Loss: 5.1254
Pretraining Epoch 242/300, Avg Loss: 5.1135
Pretraining Epoch 243/300, Avg Loss: 5.1093
Pretraining Epoch 244/300, Avg Loss: 5.1096
Pretraining Epoch 245/300, Avg Loss: 5.1094
Pretraining Epoch 246/300, Avg Loss: 5.1077
Pretraining Epoch 247/300, Avg Loss: 5.1128
Pretraining Epoch 248/300, Avg Loss: 5.1087
Pretraining Epoch 249/300, Avg Loss: 5.1042
Pretraining Epoch 250/300, Avg Loss: 5.1102
Pretraining Epoch 251/300, Avg Loss: 5.1065
Pretraining Epoch 252/300, Avg Loss: 5.1070
Pretraining Epoch 253/300, Avg Loss: 5.1145
Pretraining Epoch 254/300, Avg Loss: 5.1096
Pretraining Epoch 255/300, Avg Loss: 5.1045
Pretraining Epoch 256/300, Avg Loss: 5.1080
Pretraining Epoch 257/300, Avg Loss: 5.1035
Pretraining Epoch 258/300, Avg Loss: 5.1098
Pretraining Epoch 259/300, Avg Loss: 5.1069
Pretraining Epoch 260/300, Avg Loss: 5.1091
Pretraining Epoch 261/300, Avg Loss: 5.1026
Pretraining Epoch 262/300, Avg Loss: 5.1013
Pretraining Epoch 263/300, Avg Loss: 5.1018
Pretraining Epoch 264/300, Avg Loss: 5.0987
Pretraining Epoch 265/300, Avg Loss: 5.1016
Pretraining Epoch 266/300, Avg Loss: 5.1005
Pretraining Epoch 267/300, Avg Loss: 5.1027
Pretraining Epoch 268/300, Avg Loss: 5.1004
Pretraining Epoch 269/300, Avg Loss: 5.1039
Pretraining Epoch 270/300, Avg Loss: 5.1022
Pretraining Epoch 271/300, Avg Loss: 5.1002
Pretraining Epoch 272/300, Avg Loss: 5.1018
Pretraining Epoch 273/300, Avg Loss: 5.0980
Pretraining Epoch 274/300, Avg Loss: 5.0983
Pretraining Epoch 275/300, Avg Loss: 5.0963
Pretraining Epoch 276/300, Avg Loss: 5.0976
Pretraining Epoch 277/300, Avg Loss: 5.1044
Pretraining Epoch 278/300, Avg Loss: 5.0987
Pretraining Epoch 279/300, Avg Loss: 5.0994
Pretraining Epoch 280/300, Avg Loss: 5.0992
Pretraining Epoch 281/300, Avg Loss: 5.0928
Pretraining Epoch 282/300, Avg Loss: 5.0972
Pretraining Epoch 283/300, Avg Loss: 5.0949
Pretraining Epoch 284/300, Avg Loss: 5.0972
Pretraining Epoch 285/300, Avg Loss: 5.0929
Pretraining Epoch 286/300, Avg Loss: 5.0945
Pretraining Epoch 287/300, Avg Loss: 5.0942
Pretraining Epoch 288/300, Avg Loss: 5.0944
Pretraining Epoch 289/300, Avg Loss: 5.0941
